country;continent
australia;OCE
united kingdom;EU
netherlands;EU
germany;EU
united states of america;NAM
worldwide;WW
france;EU
belgium;EU
europe;EU
canada;NAM
spain;EU
switzerland;EU
denmark;EU
brazil;SAC
czech republic;EU
poland;EU
italy;EU
venezuela;SAC
bolivia;SAC
mexico;NAM
south america;SAC
china;AS
finland;EU
norway;EU
sweden;EU
ireland;EU
argentina;SAC
dominican republic;SAC
peru;SAC
belarus;EU
new zealand;OCE
angola;AFR
colombia;SAC
guatemala;SAC
portugal;EU
united arab emirates;AS
afghanistan;AS
cambodia;AS
cameroon;AFR
philippines;AS
NA_;NA_
bahrain;AS
estonia;EU
saint martin;SAC
netherlands antilles;SAC
